Unnamed: 0,title,video_id,published_at,keyword,likes,comments,views,pctile_7d_views,pctile_30d_views,pctile_alltime_views,like_rate,comment_rate,age_days,views_per_day,cohort_month,sentiment_var,sentiment_entropy,comment_likes_var,n_comments,frac_neg,frac_neu,frac_pos,mean_comment_likes,sentiment_var_norm,comment_likes_var_norm,sentiment_entropy_norm,controversy_score,consistent_high_performer
746,J. Holiday - Bed (Official Music Video),82t_UOMHPJY,2007-07-16,bed,515049.0,16568.0,78137822.0,100.0,100.0,97.28579031399681,0.006591545385024937,0.000212035600378009,5518,14160.533164189925,2007-07,0.41,0.9219280948830342,13932555.09,10,0.1,0.1,0.8,1740.9,0.41,0.0001629420667290182,0.5816718657171253,0.3306116025946181,True
753,J Holiday - Bed,uAwPjFq1W4s,2007-12-11,bed,119272.0,3743.0,26826274.0,100.0,100.0,94.30548163916977,0.004446088935049273,0.00013952739019962296,5370,4995.58175046555,2007-12,0.44000000000000006,1.3609640474393532,1004444.5600000002,10,0.1,0.4,0.5,894.2,0.44000000000000006,1.1747039323647804e-05,0.8586727110729979,0.43289481937077384,True
1167,Pink Floyd - We Don&#39;t Need No Education Lyrics in Description!,MAe_w9a_IN8,2008-07-25,education,50074.0,3095.0,7178954.0,100.0,100.0,85.15167642362958,0.006975110858768561,0.00043112130262988173,5143,1395.8689480847754,2008-07,0.56,1.5219280948830345,1059261.41,10,0.2,0.4,0.4,753.3,0.56,1.238812566946713e-05,0.960229717860689,0.5067473686621194,True
1433,Biology: Digestive System Video,bo2Ape8JHqA,2009-02-16,biology,132214.0,5981.0,17716356.0,100.0,100.0,92.44278871740286,0.0074628213612325245,0.0003375976414111344,4937,3588.486125177233,2009-02,0.09,0.46899559358639586,4255146.89,10,0.0,0.1,0.9,1788.1,0.09,4.976419788139192e-05,0.29590327428901314,0.12865101282896485,True
459,Ice Cube - It Was A Good Day,h4UqMyldS7Q,2009-02-24,cubes,2307773.0,71897.0,168546247.0,100.0,100.0,99.04204364023417,0.01369222418817786,0.0004265713492867035,4929,34194.81578413471,2009-02,0.24000000000000005,0.9709505944517833,81433754.76,10,0.0,0.4,0.6,3807.8,0.24000000000000005,0.0009523726420878932,0.6126016192895494,0.2845179973105458,True
764,Bon Jovi - Bed Of Roses (Official Music Video),NvR60Wg9R7Q,2009-06-17,bed,1072689.0,37571.0,302125099.0,100.0,100.0,99.46780202235232,0.003550479597856913,0.0001243557722425438,4816,62733.61690199336,2009-06,0.16,0.7219280948844771,168777.05,10,0.0,0.2,0.8,274.5,0.16,1.9738577142368825e-06,0.4554859150035144,0.20516262962040954,True
1511,"Lec 1 | MIT 6.00 Introduction to Computer Science and Programming, Fall 2008",k6U-i4gXkLM,2009-08-20,computer science,61813.0,3416.0,6091315.0,100.0,100.0,83.448642895157,0.010147726722390813,0.0005607984482825137,4752,1281.8423821548822,2009-08,0.09,0.46899559358639586,355918.80999999994,10,0.0,0.1,0.9,417.7,0.09,4.1624918124858275e-06,0.29590327428901314,0.1286358122602752,True
235,Yung Berg - The Business ft. Casha,LFtGY8pWIC0,2009-10-25,business,229141.0,7461.0,28325416.0,100.0,100.0,94.4119212346993,0.008089589928705725,0.00026340301586391527,4686,6044.689714041827,2009-10,0.44000000000000006,1.1567796494427114,8587978.44,10,0.1,0.2,0.7,1281.6,0.44000000000000006,0.00010043692251697744,0.7298466991616058,0.38998237869470764,True
757,Young Money - Bed Rock (Official Music Video),Ha80ZaecGkQ,2009-12-16,bed,1430457.0,84188.0,321977550.0,100.0,100.0,99.57424161788185,0.0044427227923189054,0.00026147164608215695,4634,69481.56020716444,2009-12,0.0,-1.4428232973175175e-12,65996437.09000001,10,0.0,0.0,1.0,4221.1,0.0,0.0007718322868082221,0.0,0.00025727742893607403,True
1139,Neon Trees - Animal,gM7Hlg75Mlo,2010-03-03,animals,338601.0,19063.0,38478475.0,100.0,100.0,95.58275678552421,0.0087997510296341,0.0004954198418726314,4557,8443.817204301075,2010-03,0.45,1.2954618442339936,24151402.09,10,0.1,0.3,0.6,2483.9,0.45,0.0002824520947900397,0.8173454221461777,0.4225426247469892,True
