,views,likes,comments,like_rate,comment_rate,pctile_7d_views,pctile_30d_views,pctile_alltime_views,controversy_score,sentiment_entropy,frac_neg,frac_neu,frac_pos,mean_comment_likes
views,1.0,0.7544783523156003,0.6596535837090154,-0.07929320863576908,-0.046910508395691865,0.13677384387543284,0.1687123570421114,0.17057844098681768,0.012789427333736522,0.01853968507811457,-0.027757123753471245,0.013129367645085495,0.007464807460944658,0.14305092912456466
likes,0.7544783523156003,1.0,0.8923281494061217,-0.04506720750600965,-0.0737141750396028,0.25427535985770544,0.3150101583110616,0.3197685152713662,0.046870807427595376,0.022711455512394976,-0.027288215215270476,-0.019534687171607452,0.033217313162902974,0.630073415528037
comments,0.6596535837090154,0.8923281494061217,1.0,-0.04447045974945297,-0.034227434769074944,0.23463582997688445,0.2867936254088983,0.2931395007772004,0.04935841090765811,0.025053218655255432,-0.0036251669357395557,-0.020655665571263908,0.01882387901783871,0.5990555333308443
like_rate,-0.07929320863576908,-0.04506720750600965,-0.04447045974945297,1.0,0.32839969376272715,-0.2594716838875175,-0.2579241412353898,-0.3729275024643078,-0.023384067827189367,-0.020867603561965556,-0.08919046021999474,0.06614177006939369,0.005093787285252796,-0.006027967461027562
comment_rate,-0.046910508395691865,-0.0737141750396028,-0.034227434769074944,0.32839969376272715,1.0,-0.29138829220914303,-0.2762215014404532,-0.3746250516511762,0.08633597279513208,0.07816242484592563,0.25521927280396434,0.026417336547405853,-0.18588828405348287,-0.05260287684862055
pctile_7d_views,0.13677384387543284,0.25427535985770544,0.23463582997688445,-0.2594716838875175,-0.29138829220914303,1.0,0.8903117284484479,0.7867402703423017,0.007003960783051801,-0.002223989776402144,-0.04740956286511642,-0.11392332874632087,0.12148161708853063,0.19273142965062556
pctile_30d_views,0.1687123570421114,0.3150101583110616,0.2867936254088983,-0.2579241412353898,-0.2762215014404532,0.8903117284484479,1.0,0.8568174222921906,0.009855540471412327,-0.00022815886241328072,-0.04409366250985013,-0.10323426998529904,0.11081506375507771,0.22979163988407666
pctile_alltime_views,0.17057844098681768,0.3197685152713662,0.2931395007772004,-0.3729275024643078,-0.3746250516511762,0.7867402703423017,0.8568174222921906,1.0,0.024524503534912572,0.016568131767150315,-0.05836096136622818,-0.15898477052353965,0.1644921292739013,0.2519063090486383
controversy_score,0.012789427333736522,0.046870807427595376,0.04935841090765811,-0.023384067827189367,0.08633597279513208,0.007003960783051801,0.009855540471412327,0.024524503534912572,1.0,0.9602606666697449,0.5873898308962542,0.1503696067003323,-0.49944644693305945,0.09067928622963346
sentiment_entropy,0.01853968507811457,0.022711455512394976,0.025053218655255432,-0.020867603561965556,0.07816242484592563,-0.002223989776402144,-0.00022815886241328072,0.016568131767150315,0.9602606666697449,1.0,0.49570857659032586,0.29639691969339793,-0.5566579483924504,0.029455909371974093
frac_neg,-0.027757123753471245,-0.027288215215270476,-0.0036251669357395557,-0.08919046021999474,0.25521927280396434,-0.04740956286511642,-0.04409366250985013,-0.05836096136622818,0.5873898308962542,0.49570857659032586,1.0,-0.05184162649320784,-0.6047945350880776,0.02093936797540315
frac_neu,0.013129367645085495,-0.019534687171607452,-0.020655665571263908,0.06614177006939369,0.026417336547405853,-0.11392332874632087,-0.10323426998529904,-0.15898477052353965,0.1503696067003323,0.29639691969339793,-0.05184162649320784,1.0,-0.7639571365178303,-0.04406466795688271
frac_pos,0.007464807460944658,0.033217313162902974,0.01882387901783871,0.005093787285252796,-0.18588828405348287,0.12148161708853063,0.11081506375507771,0.1644921292739013,-0.49944644693305945,-0.5566579483924504,-0.6047945350880776,-0.7639571365178303,1.0,0.02160986383646734
mean_comment_likes,0.14305092912456466,0.630073415528037,0.5990555333308443,-0.006027967461027562,-0.05260287684862055,0.19273142965062556,0.22979163988407666,0.2519063090486383,0.09067928622963346,0.029455909371974093,0.02093936797540315,-0.04406466795688271,0.02160986383646734,1.0
